Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
the-revolution-1765-to-1789,"The Revolution, 1765 to 1789","<p><em>Ten dates from the Stamp Act to the first inauguration, sized for the wall and priced for a teacher.</em></p><p>Ten dates, each verified against National Archives and Library of Congress chronologies. Built to anchor the Founding Documents Set on a classroom wall.</p><table><tr><td><strong>Source</strong></td><td>Dates verified against National Archives and Library of Congress</td></tr><tr><td><strong>Typeface</strong></td><td>Caslon with Plex Mono figures</td></tr><tr><td><strong>Paper</strong></td><td>100 lb cream cover, 24 x 36 · also 18 x 24</td></tr><tr><td><strong>Press</strong></td><td>Thomas Graphics, Austin, Texas</td></tr></table><p>Rolled in a tube from Austin. Free U.S. shipping on prints over $75. Every sheet inspected by hand before it leaves the shop.</p>",Thomas Broadside Co.,Broadside,"classroom, broadside, printed in austin",TRUE,Tier,Digital download,TB-CLS-TIME-DIG,0,deny,manual,12.00,FALSE,TRUE,https://thomasbroadside.co/art/the-revolution-1765-to-1789.jpg,1,"The Revolution, 1765 to 1789 — typeset broadside","The Revolution, 1765 to 1789 — broadside, printed in Austin, TX","Ten dates from the Stamp Act to the first inauguration, sized for the wall and priced for a teacher.",active
the-revolution-1765-to-1789,,,,,,,Tier,Press print,TB-CLS-TIME-PRT,700,deny,manual,44.00,TRUE,TRUE,,,,,,
the-beatitudes,The Beatitudes,"<p><em>The ten verses that open the Sermon on the Mount, set from the King James Bible — chapter and verse in red, the way scripture was always rubricated.</em></p><p>The blessings that open the Sermon on the Mount, Matthew 5:3–12 entire, set from the Authorized Version of 1611 — the King James Bible, the founding monument of English prose. Verse numbers stand in red beside the words, the way scripture has been rubricated since the scriptoria. Chapter and verse are on the sheet, because that is what citation looked like first.</p><table><tr><td><strong>Source</strong></td><td>The Gospel according to St Matthew 5:3–12, Authorized Version, 1611</td></tr><tr><td><strong>Typeface</strong></td><td>Caslon</td></tr><tr><td><strong>Paper</strong></td><td>100 lb cream cover, 18 x 24</td></tr><tr><td><strong>Press</strong></td><td>Thomas Graphics, Austin, Texas</td></tr><tr><td><strong>Edition</strong></td><td>Numbered of 250, cotton paper, embossed maker's mark</td></tr></table><p>Rolled in a tube from Austin. Free U.S. shipping on prints over $75. Every sheet inspected by hand before it leaves the shop.</p>",Thomas Broadside Co.,Broadside,"canon, broadside, printed in austin",TRUE,Tier,Digital download,TB-CAN-BEAT-DIG,0,deny,manual,9.00,FALSE,TRUE,https://thomasbroadside.co/art/the-beatitudes.jpg,1,"The Beatitudes — Matthew 5:3–12, Authorized Version, typeset broadside in black and red","The Beatitudes — broadside, printed in Austin, TX","The ten verses that open the Sermon on the Mount, set from the King James Bible — chapter and verse in red, the way scripture was always rubricated.",active
the-beatitudes,,,,,,,Tier,Press print,TB-CAN-BEAT-PRT,700,deny,manual,44.00,TRUE,TRUE,,,,,,
the-beatitudes,,,,,,,Tier,Numbered edition,TB-CAN-BEAT-EDN,1100,deny,manual,165.00,TRUE,TRUE,,,,,,
what-is-a-man-profited,What is a man profited?,"<p><em>The audit no ledger survives: Matthew 16:26, both questions, Authorized Version of 1611.</em></p><p>Matthew 16:26 entire — both questions, nothing trimmed — from the Authorized Version of 1611. Two thousand years old and aimed directly at the present tense.</p><table><tr><td><strong>Source</strong></td><td>The Gospel according to St Matthew 16:26, Authorized Version, 1611</td></tr><tr><td><strong>Typeface</strong></td><td>Caslon</td></tr><tr><td><strong>Paper</strong></td><td>100 lb cream cover, 24 x 18 (landscape)</td></tr><tr><td><strong>Press</strong></td><td>Thomas Graphics, Austin, Texas</td></tr></table><p>Rolled in a tube from Austin. Free U.S. shipping on prints over $75. Every sheet inspected by hand before it leaves the shop.</p>",Thomas Broadside Co.,Broadside,"canon, broadside, printed in austin",TRUE,Tier,Digital download,TB-CAN-PROF-DIG,0,deny,manual,7.00,FALSE,TRUE,https://thomasbroadside.co/art/what-is-a-man-profited.jpg,1,"What is a man profited? — Matthew 16:26, typeset broadside","What is a man profited? — broadside, printed in Austin, TX","The audit no ledger survives: Matthew 16:26, both questions, Authorized Version of 1611.",active
what-is-a-man-profited,,,,,,,Tier,Press print,TB-CAN-PROF-PRT,700,deny,manual,38.00,TRUE,TRUE,,,,,,
the-odyssey,The Odyssey,"<p><em>The road-opening lines of Western literature — the invocation of the Odyssey, monumental, in Samuel Butler's public-domain prose.</em></p><p>The invocation of the Odyssey — the oldest opening lines in Western literature — in Samuel Butler's 1900 translation, trimmed at 'bring his men safely home'; the sentence continues into the folly of the crew. Homer begins with a man trying to get home, and the West begins with Homer.</p><table><tr><td><strong>Source</strong></td><td>The Odyssey, Book I, translated by Samuel Butler, 1900</td></tr><tr><td><strong>Typeface</strong></td><td>Caslon</td></tr><tr><td><strong>Paper</strong></td><td>100 lb cream cover, 18 x 24</td></tr><tr><td><strong>Press</strong></td><td>Thomas Graphics, Austin, Texas</td></tr><tr><td><strong>Edition</strong></td><td>Numbered of 250, cotton paper, embossed maker's mark</td></tr></table><p>Rolled in a tube from Austin. Free U.S. shipping on prints over $75. Every sheet inspected by hand before it leaves the shop.</p>",Thomas Broadside Co.,Broadside,"canon, broadside, printed in austin",TRUE,Tier,Digital download,TB-CAN-ODYS-DIG,0,deny,manual,9.00,FALSE,TRUE,https://thomasbroadside.co/art/the-odyssey.jpg,1,"The Odyssey — 'Tell me, O Muse,' the invocation set monumental in Caslon, black and red","The Odyssey — broadside, printed in Austin, TX","The road-opening lines of Western literature — the invocation of the Odyssey, monumental, in Samuel Butler's public-domain prose.",active
the-odyssey,,,,,,,Tier,Press print,TB-CAN-ODYS-PRT,700,deny,manual,44.00,TRUE,TRUE,,,,,,
the-odyssey,,,,,,,Tier,Numbered edition,TB-CAN-ODYS-EDN,1100,deny,manual,165.00,TRUE,TRUE,,,,,,
our-heart-is-restless,Our heart is restless,"<p><em>The restless heart, named sixteen centuries before the feed — the first page of the Confessions, in Pusey's translation.</em></p><p>From the first page of the Confessions, written c. 397 by Augustine of Hippo, in Edward Bouverie Pusey's 1838 translation. The diagnosis of the scrolling animal, made sixteen centuries early.</p><table><tr><td><strong>Source</strong></td><td>Confessions, Book I, c. 397 · translated by Edward B. Pusey, 1838</td></tr><tr><td><strong>Typeface</strong></td><td>Caslon</td></tr><tr><td><strong>Paper</strong></td><td>100 lb cream cover, 24 x 18 (landscape)</td></tr><tr><td><strong>Press</strong></td><td>Thomas Graphics, Austin, Texas</td></tr></table><p>Rolled in a tube from Austin. Free U.S. shipping on prints over $75. Every sheet inspected by hand before it leaves the shop.</p>",Thomas Broadside Co.,Broadside,"canon, broadside, printed in austin",TRUE,Tier,Digital download,TB-CAN-AUGU-DIG,0,deny,manual,7.00,FALSE,TRUE,https://thomasbroadside.co/art/our-heart-is-restless.jpg,1,"Our heart is restless — Augustine, Confessions, typeset broadside","Our heart is restless — broadside, printed in Austin, TX","The restless heart, named sixteen centuries before the feed — the first page of the Confessions, in Pusey's translation.",active
our-heart-is-restless,,,,,,,Tier,Press print,TB-CAN-AUGU-PRT,700,deny,manual,38.00,TRUE,TRUE,,,,,,
midway-upon-the-journey,Midway upon the journey,"<p><em>The first tercet of the Divine Comedy in Longfellow's translation — the dark wood, and the honesty of admitting you are in one.</em></p><p>The opening tercet of the Divine Comedy, c. 1320, in Henry Wadsworth Longfellow's 1867 translation — the first American translation of Dante, made by the poet the founders' grandchildren read. The way out of the dark wood begins with these three lines admitting it exists.</p><table><tr><td><strong>Source</strong></td><td>Inferno, Canto I, lines 1–3 · translated by Henry Wadsworth Longfellow, 1867</td></tr><tr><td><strong>Typeface</strong></td><td>Caslon</td></tr><tr><td><strong>Paper</strong></td><td>100 lb cream cover, 24 x 18 (landscape)</td></tr><tr><td><strong>Press</strong></td><td>Thomas Graphics, Austin, Texas</td></tr></table><p>Rolled in a tube from Austin. Free U.S. shipping on prints over $75. Every sheet inspected by hand before it leaves the shop.</p>",Thomas Broadside Co.,Broadside,"canon, broadside, printed in austin",TRUE,Tier,Digital download,TB-CAN-DANT-DIG,0,deny,manual,7.00,FALSE,TRUE,https://thomasbroadside.co/art/midway-upon-the-journey.jpg,1,"Midway upon the journey of our life — Dante, Inferno I, typeset broadside","Midway upon the journey — broadside, printed in Austin, TX","The first tercet of the Divine Comedy in Longfellow's translation — the dark wood, and the honesty of admitting you are in one.",active
midway-upon-the-journey,,,,,,,Tier,Press print,TB-CAN-DANT-PRT,700,deny,manual,38.00,TRUE,TRUE,,,,,,
founding-documents-set,The Founding Documents Set,"<p><em>The five documents and the timeline of the Revolution, sourced, dated, and sized for the room. A download you print tonight, or six sheets from our press in one tube.</em></p><p>Homeschool families, co-ops, private and charter schools, civics teachers. A repeat purchase every August.</p><p><strong>In the set:</strong></p><ul><li>The Declaration of Independence</li><li>Preamble to the Constitution</li><li>The Bill of Rights</li><li>Washington's Farewell Address</li><li>The Gettysburg Address</li><li>The Revolution, 1765 to 1789</li></ul><p>Printed sets ship in one tube from Austin. Every sheet sourced and dated.</p>",Thomas Broadside Co.,Set,"set, broadside, printed in austin",TRUE,Format,Digital set,TB-SET-FOUND-DIG,0,deny,manual,24.00,FALSE,TRUE,https://thomasbroadside.co/art/declaration-of-independence.jpg,1,The Founding Documents Set,"The Founding Documents Set — broadsides, printed in Austin, TX","The five documents and the timeline of the Revolution, sourced, dated, and sized for the room. A download you print tonight, or six sheets from our press in one tube.",active
founding-documents-set,,,,,,,Format,Printed set,TB-SET-FOUND-PRT,2200,deny,manual,150.00,TRUE,TRUE,,,,,,
founding-documents-set,,,,,,,,,,,,,,,,https://thomasbroadside.co/art/preamble-to-the-constitution.jpg,2,Preamble to the Constitution,,,
founding-documents-set,,,,,,,,,,,,,,,,https://thomasbroadside.co/art/bill-of-rights.jpg,3,The Bill of Rights,,,
founding-documents-set,,,,,,,,,,,,,,,,https://thomasbroadside.co/art/washingtons-farewell-address.jpg,4,Washington's Farewell Address,,,
founding-documents-set,,,,,,,,,,,,,,,,https://thomasbroadside.co/art/gettysburg-address.jpg,5,The Gettysburg Address,,,
founding-documents-set,,,,,,,,,,,,,,,,https://thomasbroadside.co/art/the-revolution-1765-to-1789.jpg,6,"The Revolution, 1765 to 1789",,,
the-founders-set,The Founders Set,"<p><em>Washington, Franklin, Jefferson, and Hamilton — after Stuart, Duplessis, and Trumbull — with dates and painters credited on every sheet.</em></p><p>Presidents' Day classrooms, law offices, gift buyers.</p><p><strong>In the set:</strong></p><ul><li>George Washington</li><li>Benjamin Franklin</li><li>Thomas Jefferson</li><li>Alexander Hamilton</li></ul><p>Printed sets ship in one tube from Austin. Every sheet sourced and dated.</p>",Thomas Broadside Co.,Set,"set, broadside, printed in austin",TRUE,Format,Digital set,TB-SET-FNDR-DIG,0,deny,manual,18.00,FALSE,TRUE,https://thomasbroadside.co/art/george-washington-after-stuart.jpg,1,The Founders Set,"The Founders Set — broadsides, printed in Austin, TX","Washington, Franklin, Jefferson, and Hamilton — after Stuart, Duplessis, and Trumbull — with dates and painters credited on every sheet.",active
the-founders-set,,,,,,,Format,Printed set,TB-SET-FNDR-PRT,2200,deny,manual,125.00,TRUE,TRUE,,,,,,
the-founders-set,,,,,,,,,,,,,,,,https://thomasbroadside.co/art/benjamin-franklin-after-duplessis.jpg,2,Benjamin Franklin,,,
the-founders-set,,,,,,,,,,,,,,,,https://thomasbroadside.co/art/thomas-jefferson-after-stuart.jpg,3,Thomas Jefferson,,,
the-founders-set,,,,,,,,,,,,,,,,https://thomasbroadside.co/art/alexander-hamilton-after-trumbull.jpg,4,Alexander Hamilton,,,
the-texas-set,The Texas Set,"<p><em>The Texas Declaration of Independence and the Republic of Texas after Emory, printed an hour from where both belong.</em></p><p>Texans, Texas Independence Day, the home market.</p><p><strong>In the set:</strong></p><ul><li>The Texas Declaration of Independence</li><li>The Republic of Texas</li></ul><p>Printed sets ship in one tube from Austin. Every sheet sourced and dated.</p>",Thomas Broadside Co.,Set,"set, broadside, printed in austin",TRUE,Format,Digital set,TB-SET-TEXA-DIG,0,deny,manual,15.00,FALSE,TRUE,https://thomasbroadside.co/art/texas-declaration-of-independence.jpg,1,The Texas Set,"The Texas Set — broadsides, printed in Austin, TX","The Texas Declaration of Independence and the Republic of Texas after Emory, printed an hour from where both belong.",active
the-texas-set,,,,,,,Format,Printed set,TB-SET-TEXA-PRT,2200,deny,manual,85.00,TRUE,TRUE,,,,,,
the-texas-set,,,,,,,,,,,,,,,,https://thomasbroadside.co/art/the-republic-of-texas-after-emory.jpg,2,The Republic of Texas,,,
the-western-canon-set,The Western Canon Set,"<p><em>Homer's invocation, the Beatitudes, the question from Matthew, Augustine's restless heart, and Dante's dark wood — the shelf that raised the men of 1776.</em></p><p>For the study, the classical classroom, and anyone building a shelf that argues.</p><p><strong>In the set:</strong></p><ul><li>The Odyssey</li><li>The Beatitudes</li><li>What is a man profited?</li><li>Our heart is restless</li><li>Midway upon the journey</li></ul><p>Printed sets ship in one tube from Austin. Every sheet sourced and dated.</p>",Thomas Broadside Co.,Set,"set, broadside, printed in austin",TRUE,Format,Digital set,TB-SET-CANO-DIG,0,deny,manual,26.00,FALSE,TRUE,https://thomasbroadside.co/art/the-odyssey.jpg,1,The Western Canon Set,"The Western Canon Set — broadsides, printed in Austin, TX","Homer's invocation, the Beatitudes, the question from Matthew, Augustine's restless heart, and Dante's dark wood — the shelf that raised the men of 1776.",active
the-western-canon-set,,,,,,,Format,Printed set,TB-SET-CANO-PRT,2200,deny,manual,150.00,TRUE,TRUE,,,,,,
the-western-canon-set,,,,,,,,,,,,,,,,https://thomasbroadside.co/art/the-beatitudes.jpg,2,The Beatitudes,,,
the-western-canon-set,,,,,,,,,,,,,,,,https://thomasbroadside.co/art/what-is-a-man-profited.jpg,3,What is a man profited?,,,
the-western-canon-set,,,,,,,,,,,,,,,,https://thomasbroadside.co/art/our-heart-is-restless.jpg,4,Our heart is restless,,,
the-western-canon-set,,,,,,,,,,,,,,,,https://thomasbroadside.co/art/midway-upon-the-journey.jpg,5,Midway upon the journey,,,
